t,Wx,Wy,Wz,Wt
0.881843,1.393,3.272,2.964,4.629
0.884548,1.094,3.299,3.084,4.646
0.892194,1,3.307,3.131,4.662
0.90268,0.704,3.253,3.312,4.695
0.907229,0.294,2.896,3.58,4.614
0.908367,0.266,2.859,3.597,4.603
0.913587,0.211,2.798,3.625,4.584
0.916318,0.037,2.624,3.698,4.535
0.923726,-0.021,2.58,3.716,4.524
0.933923,-0.239,2.479,3.781,4.527
0.945298,-0.482,2.419,3.85,4.573
0.94846,-0.833,2.2,3.984,4.627
0.951691,-0.871,2.139,4.003,4.622
0.955807,-0.907,2.048,4.021,4.602
0.96689,-0.938,1.764,4.059,4.524
0.978345,-0.798,1.099,4.17,4.386
0.980621,-0.586,1.106,4.167,4.351
0.984058,-0.524,1.113,4.15,4.328
0.984411,-0.455,1.117,4.13,4.302
0.990114,-0.385,1.113,4.108,4.274
0.990177,-0.31,1.109,4.084,4.243
0.990683,-0.233,1.105,4.059,4.213
0.993683,-0.158,1.105,4.034,4.185
1.011896,-0.071,1.109,4.004,4.156
1.015311,0.633,0.977,3.674,3.854
1.016329,0.695,0.907,3.623,3.799
1.024397,0.755,0.829,3.566,3.738
1.034937,0.955,0.424,3.344,3.503
1.036957,1.098,-0.05,3.111,3.299
1.038829,1.121,-0.151,3.067,3.269
1.042471,1.156,-0.327,2.984,3.217
1.046818,1.166,-0.409,2.944,3.193
1.050416,1.183,-0.602,2.841,3.136
1.057855,1.185,-0.678,2.805,3.12
1.069297,1.159,-0.922,2.65,3.036
1.072322,1.042,-1.131,2.402,2.852
1.075173,1.012,-1.166,2.35,2.812
1.076271,0.982,-1.195,2.291,2.764
1.08014,0.946,-1.227,2.234,2.719
1.080382,0.908,-1.255,2.175,2.67
1.083139,0.891,-1.266,2.147,2.646
1.084301,0.846,-1.279,2.084,2.588
1.091561,0.803,-1.286,2.021,2.527
1.094647,0.588,-1.274,1.759,2.251
1.096608,0.532,-1.266,1.695,2.181
1.098944,0.469,-1.261,1.633,2.116
1.100584,0.437,-1.255,1.604,2.083
1.105471,0.37,-1.246,1.544,2.018
1.10554,0.305,-1.235,1.484,1.955
1.106758,0.236,-1.221,1.422,1.889
1.108371,0.167,-1.197,1.356,1.816
1.117557,0.098,-1.165,1.285,1.737
1.129594,-0.133,-1.038,1.045,1.479
1.132235,-0.495,-0.717,0.528,1.019
1.141756,-0.512,-0.693,0.486,0.989
1.153879,-0.672,-0.486,-0.017,0.829
1.156248,-0.773,-0.607,-0.522,1.113
1.158712,-0.785,-0.69,-0.595,1.202
1.166177,-0.801,-0.779,-0.666,1.301
1.168293,-0.859,-1.068,-0.932,1.658
1.17858,-0.878,-1.13,-1.012,1.752
1.189829,-0.952,-1.222,-1.313,2.03
1.192284,-0.916,-1.372,-1.421,2.177
1.199692,-0.918,-1.247,-1.394,2.084
1.210448,-0.853,-0.974,-1.28,1.821
1.215265,-0.972,-0.236,-1.251,1.602
1.21626,-0.977,-0.097,-1.241,1.582
1.221621,-0.977,0.037,-1.218,1.562
1.2243,-0.952,0.28,-1.14,1.512
1.231738,-0.929,0.324,-1.094,1.471
1.242252,-0.788,0.332,-0.832,1.193
1.252755,-0.516,0.178,-0.454,0.71
1.254897,-0.165,-0.12,-0.015,0.204
1.258333,-0.068,-0.195,0.108,0.233
1.263641,-0.004,-0.235,0.184,0.298
1.266997,0.166,-0.341,0.376,0.534
1.268258,0.218,-0.37,0.429,0.607
1.27412,0.266,-0.397,0.475,0.674
1.276201,0.378,-0.469,0.556,0.82
1.284433,0.42,-0.505,0.579,0.875
1.294947,0.566,-0.679,0.594,1.065
1.298565,0.735,-0.881,0.5,1.252
1.300215,0.761,-0.913,0.476,1.28
1.305462,0.787,-0.945,0.453,1.311
1.308254,0.843,-1.013,0.403,1.378
1.316193,0.863,-1.035,0.387,1.403
1.326664,0.928,-1.059,0.372,1.456
21.961594,-0.863,0.539,0.565,1.164
21.968052,-0.762,-0.344,-0.067,0.839
21.973245,-0.872,-0.374,-0.143,0.96
21.973306,-0.903,-0.386,-0.164,0.996
21.976024,-0.958,-0.401,-0.198,1.057
21.980655,-0.969,-0.407,-0.205,1.071
21.987621,-1.026,-0.429,-0.229,1.135
21.989955,-1.051,-0.476,-0.23,1.177
21.993786,-1.051,-0.491,-0.222,1.181
21.993843,-1.049,-0.499,-0.218,1.182
21.996914,-1.039,-0.513,-0.205,1.177
22.001135,-1.002,-0.536,-0.173,1.149
22.00158,-0.98,-0.544,-0.154,1.132
22.004225,-0.949,-0.553,-0.134,1.107
22.005325,-0.918,-0.562,-0.113,1.082
22.010478,-0.888,-0.566,-0.09,1.057
22.012458,-0.831,-0.568,-0.057,1.008
22.018527,-0.753,-0.562,-0.007,0.94
22.02146,-0.626,-0.538,0.067,0.828
22.025923,-0.582,-0.53,0.095,0.793
22.026115,-0.534,-0.524,0.122,0.758
22.029111,-0.515,-0.519,0.135,0.743
22.029479,-0.475,-0.506,0.164,0.713
22.034911,-0.439,-0.491,0.191,0.685
22.037818,-0.406,-0.476,0.216,0.662
22.040046,-0.324,-0.393,0.285,0.584
22.04356,-0.3,-0.363,0.305,0.561
22.044085,-0.284,-0.332,0.322,0.543
22.04606,-0.275,-0.319,0.33,0.535
22.04851,-0.257,-0.287,0.345,0.517
22.05213,-0.239,-0.263,0.358,0.504
22.052805,-0.225,-0.238,0.371,0.495
22.053746,-0.21,-0.218,0.383,0.488
22.056818,-0.2,-0.195,0.395,0.484
22.059989,-0.193,-0.183,0.406,0.485
22.060356,-0.188,-0.177,0.417,0.491
22.061628,-0.188,-0.17,0.425,0.495
22.0667,-0.188,-0.17,0.43,0.499
22.06682,-0.189,-0.163,0.439,0.505
22.073276,-0.196,-0.166,0.446,0.515
22.077233,-0.242,-0.23,0.467,0.574
22.077291,-0.258,-0.256,0.473,0.597
22.079934,-0.267,-0.271,0.475,0.608
22.08449,-0.282,-0.305,0.477,0.632
22.084549,-0.298,-0.343,0.478,0.659
22.085451,-0.314,-0.378,0.477,0.685
22.088096,-0.34,-0.427,0.478,0.725
22.090235,-0.362,-0.466,0.477,0.759
22.093117,-0.387,-0.514,0.472,0.798
22.093465,-0.417,-0.55,0.465,0.832
22.095844,-0.444,-0.593,0.456,0.87
22.097298,-0.454,-0.615,0.454,0.889
22.101279,-0.483,-0.653,0.445,0.926
22.101383,-0.506,-0.69,0.437,0.961
22.104296,-0.53,-0.723,0.428,0.993
22.105324,-0.55,-0.761,0.418,1.028
22.109416,-0.574,-0.789,0.409,1.057
22.109431,-0.591,-0.819,0.4,1.087
22.112141,-0.609,-0.848,0.389,1.114
22.11325,-0.619,-0.863,0.383,1.129
22.117675,-0.63,-0.883,0.371,1.146
22.117706,-0.632,-0.905,0.358,1.16
22.120102,-0.63,-0.928,0.346,1.174
22.121263,-0.609,-0.946,0.34,1.176
22.126137,-0.567,-0.958,0.333,1.162
22.126164,-0.524,-0.975,0.334,1.156
22.128065,-0.475,-0.986,0.337,1.145
22.129444,-0.421,-0.988,0.337,1.125
22.133857,-0.393,-0.991,0.337,1.118
22.134219,-0.334,-0.988,0.327,1.093
22.135861,-0.274,-0.975,0.318,1.061
22.137869,-0.216,-0.957,0.306,1.028
22.1441,-0.158,-0.929,0.294,0.987
22.147772,0.002,-0.779,0.274,0.826
22.151228,0.016,-0.756,0.276,0.805
22.152099,0.04,-0.714,0.282,0.769
22.153171,0.057,-0.668,0.29,0.73
22.159494,0.075,-0.626,0.301,0.698
22.164156,0.112,-0.517,0.351,0.635
22.167945,0.115,-0.509,0.356,0.632
22.172064,0.133,-0.511,0.375,0.647
22.173351,0.137,-0.527,0.38,0.664
22.176102,0.142,-0.549,0.379,0.682
22.177163,0.151,-0.57,0.381,0.702
22.179979,0.161,-0.601,0.376,0.727
22.183624,0.167,-0.634,0.37,0.753
22.183699,0.17,-0.652,0.367,0.767
