t,Wx,Wy,Wz,Wt
22.91721,0.927,-0.231,0.079,0.959
22.919726,0.914,-0.215,0.086,0.943
22.9212,0.9,-0.207,0.09,0.928
22.925626,0.889,-0.2,0.094,0.916
22.925674,0.88,-0.189,0.095,0.905
22.927545,0.87,-0.186,0.097,0.895
22.929285,0.861,-0.178,0.095,0.885
22.933883,0.857,-0.167,0.095,0.878
22.933953,0.85,-0.164,0.095,0.871
22.935667,0.842,-0.153,0.09,0.86
22.937268,0.831,-0.14,0.088,0.847
22.939472,0.822,-0.123,0.087,0.835
22.942281,0.808,-0.106,0.082,0.819
22.944047,0.795,-0.09,0.079,0.804
22.945197,0.782,-0.072,0.078,0.789
22.948125,0.764,-0.059,0.075,0.77
22.950955,0.748,-0.043,0.074,0.753
22.952019,0.737,-0.034,0.073,0.742
22.953241,0.718,-0.019,0.073,0.722
22.9597,0.697,-0.004,0.076,0.701
22.964048,0.603,0.063,0.097,0.614
22.968194,0.574,0.076,0.108,0.589
22.972071,0.502,0.121,0.135,0.533
22.976184,0.469,0.134,0.148,0.51
22.976262,0.438,0.144,0.16,0.488
22.977156,0.411,0.148,0.17,0.468
22.97936,0.38,0.15,0.184,0.448
22.981196,0.353,0.149,0.192,0.429
22.984297,0.325,0.144,0.203,0.409
22.985149,0.3,0.14,0.212,0.393
22.987385,0.288,0.139,0.217,0.387
22.989211,0.262,0.13,0.224,0.369
22.993034,0.243,0.126,0.235,0.36
22.993309,0.222,0.128,0.25,0.358
22.996173,0.202,0.132,0.261,0.355
22.997241,0.186,0.133,0.276,0.358
23.001038,0.167,0.13,0.291,0.36
23.001223,0.15,0.127,0.304,0.362
23.004047,0.142,0.125,0.312,0.365
23.005233,0.128,0.122,0.325,0.37
23.009614,0.114,0.109,0.338,0.373
23.00969,0.102,0.099,0.345,0.373
23.012044,0.095,0.093,0.353,0.377
23.013231,0.086,0.085,0.359,0.378
23.018287,0.081,0.078,0.36,0.378
23.021308,0.088,0.059,0.359,0.374
23.026993,0.1,0.049,0.357,0.374
23.029421,0.153,0.021,0.329,0.364
23.031405,0.172,0.005,0.309,0.354
23.034954,0.197,-0.002,0.289,0.35
23.037428,0.227,0.002,0.272,0.355
23.037609,0.261,0.007,0.258,0.367
23.039369,0.277,0.008,0.25,0.373
23.043566,0.318,0.009,0.233,0.394
23.043654,0.356,0.01,0.211,0.414
23.045213,0.401,0.007,0.187,0.443
23.048125,0.446,0.005,0.159,0.473
23.051746,0.492,0.002,0.13,0.509
23.052019,0.539,-0.002,0.1,0.549
23.053234,0.588,-0.003,0.07,0.592
23.060046,0.635,-0.001,0.04,0.637
23.064059,0.805,0.015,-0.054,0.806
23.068541,0.853,0.024,-0.081,0.857
23.07255,0.986,0.043,-0.15,0.998
23.076533,1.005,0.04,-0.159,1.018
23.079742,1.111,0.058,-0.221,1.134
23.081202,1.141,0.061,-0.24,1.168
23.084345,1.167,0.061,-0.26,1.197
23.085221,1.19,0.065,-0.28,1.224
23.087692,1.209,0.07,-0.3,1.248
23.089253,1.227,0.07,-0.316,1.269
23.093324,1.232,0.07,-0.326,1.276
23.093609,1.245,0.072,-0.344,1.294
23.095347,1.255,0.073,-0.359,1.307
23.097134,1.264,0.068,-0.374,1.32
23.100985,1.269,0.063,-0.39,1.329
23.101672,1.272,0.057,-0.403,1.335
23.104005,1.275,0.048,-0.414,1.341
23.105187,1.275,0.044,-0.425,1.345
23.110122,1.274,0.039,-0.429,1.345
23.110189,1.276,0.037,-0.439,1.35
23.112179,1.274,0.037,-0.445,1.35
23.113142,1.274,0.036,-0.449,1.352
23.11775,1.274,0.032,-0.456,1.353
23.117823,1.274,0.037,-0.458,1.355
23.120755,1.272,0.041,-0.462,1.354
23.121319,1.272,0.041,-0.464,1.354
23.125882,1.268,0.045,-0.466,1.352
23.125948,1.268,0.046,-0.465,1.351
23.12803,1.265,0.05,-0.467,1.35
23.129201,1.263,0.053,-0.464,1.347
23.134864,1.259,0.057,-0.464,1.343
23.137324,1.252,0.071,-0.448,1.332
23.139235,1.247,0.082,-0.435,1.324
23.143348,1.242,0.091,-0.426,1.317
23.143837,1.242,0.095,-0.42,1.315
23.145168,1.239,0.103,-0.404,1.307
23.147295,1.234,0.114,-0.39,1.299
23.151229,1.228,0.121,-0.371,1.289
23.1515,1.22,0.13,-0.349,1.276
23.153233,1.211,0.134,-0.327,1.262
23.156394,1.207,0.137,-0.303,1.252
23.159811,1.197,0.141,-0.279,1.237
23.160036,1.183,0.142,-0.252,1.218
23.161233,1.178,0.142,-0.239,1.211
23.164055,1.167,0.141,-0.214,1.195
23.167808,1.156,0.134,-0.186,1.178
23.167968,1.145,0.131,-0.158,1.163
23.169221,1.13,0.123,-0.133,1.145
23.172019,1.111,0.111,-0.104,1.122
23.173164,1.098,0.1,-0.076,1.105
23.176443,1.078,0.084,-0.053,1.083
23.177168,1.057,0.075,-0.04,1.06
23.180001,1.048,0.057,-0.015,1.05
23.181229,1.023,0.041,0.004,1.024
23.185015,0.998,0.02,0.025,0.999
23.185226,0.971,0.004,0.043,0.972
23.187644,0.938,-0.012,0.061,0.94
23.189214,0.904,-0.03,0.078,0.908
23.19281,0.869,-0.045,0.087,0.875
23.19314,0.831,-0.059,0.098,0.839
23.197071,0.789,-0.065,0.1,0.798
23.19731,0.77,-0.075,0.107,0.781
23.201496,0.729,-0.09,0.111,0.743
23.201563,0.686,-0.1,0.113,0.702
23.203266,0.645,-0.111,0.114,0.664
23.2052,0.602,-0.118,0.115,0.624
23.210062,0.562,-0.126,0.112,0.587
23.210127,0.521,-0.139,0.108,0.55
23.21196,0.486,-0.146,0.103,0.518
23.213174,0.469,-0.149,0.1,0.502
23.218225,0.435,-0.156,0.094,0.471
23.218286,0.401,-0.16,0.086,0.44
23.21993,0.371,-0.165,0.08,0.414
23.221187,0.343,-0.166,0.073,0.388
23.225814,0.318,-0.169,0.065,0.366
23.225866,0.297,-0.166,0.06,0.345
23.228012,0.272,-0.167,0.054,0.324
23.2306,0.253,-0.166,0.049,0.306
23.237236,0.244,-0.162,0.045,0.297
23.239874,0.182,-0.141,0.02,0.231
23.242829,0.167,-0.133,0.016,0.214
23.243249,0.159,-0.123,0.01,0.201
23.24726,0.143,-0.109,0.005,0.18
23.251279,0.13,-0.097,0.002,0.162
23.25537,0.108,-0.064,-0.005,0.126
23.260115,0.099,-0.049,-0.007,0.111
23.263976,0.087,-0.016,-0.009,0.089
23.268043,0.089,-0.013,-0.008,0.09
23.268112,0.085,-0.001,-0.008,0.085
23.269096,0.082,0.007,-0.005,0.083
23.27198,0.083,0.016,0,0.085
23.273248,0.084,0.024,0.003,0.087
23.276912,0.086,0.025,0.012,0.09
23.277069,0.086,0.024,0.021,0.092
23.279974,0.087,0.022,0.031,0.095
23.281157,0.089,0.013,0.043,0.1
23.28473,0.087,0.009,0.049,0.101
23.285137,0.089,0,0.059,0.107
23.287895,0.087,-0.012,0.071,0.113
23.289101,0.087,-0.021,0.084,0.122
23.292726,0.083,-0.035,0.097,0.132
23.293222,0.08,-0.045,0.11,0.143
23.295743,0.076,-0.058,0.123,0.156
23.29714,0.066,-0.067,0.136,0.166
23.301709,0.06,-0.078,0.147,0.177
23.301791,0.056,-0.085,0.153,0.184
23.303773,0.046,-0.092,0.166,0.195
23.30508,0.036,-0.102,0.174,0.205
23.309668,0.024,-0.112,0.184,0.217
23.309746,0.013,-0.123,0.192,0.228
23.311624,0,-0.131,0.197,0.237
23.313074,-0.012,-0.14,0.204,0.248
23.318256,-0.026,-0.15,0.207,0.257
23.320807,-0.039,-0.161,0.212,0.269
23.326819,-0.067,-0.179,0.213,0.286
23.328961,-0.089,-0.194,0.21,0.299
23.335194,-0.12,-0.204,0.203,0.312
23.343457,-0.164,-0.226,0.184,0.335
23.347514,-0.203,-0.246,0.159,0.357
23.351723,-0.21,-0.249,0.151,0.359
23.359291,-0.233,-0.254,0.14,0.373
23.3632,-0.271,-0.25,0.122,0.388
23.368307,-0.282,-0.247,0.119,0.394
23.37189,-0.303,-0.241,0.107,0.402
23.373057,-0.307,-0.239,0.101,0.403
23.376339,-0.313,-0.233,0.097,0.402
23.377235,-0.316,-0.228,0.093,0.401
23.379908,-0.316,-0.224,0.087,0.397
23.381078,-0.321,-0.211,0.084,0.393
23.384618,-0.322,-0.2,0.081,0.387
23.385174,-0.323,-0.192,0.081,0.384
23.387908,-0.319,-0.185,0.078,0.377
23.389091,-0.319,-0.177,0.077,0.373
23.392939,-0.313,-0.166,0.077,0.363
23.39321,-0.306,-0.158,0.08,0.353
23.39621,-0.299,-0.15,0.084,0.345
23.397097,-0.288,-0.144,0.087,0.334
23.401303,-0.275,-0.14,0.09,0.322
23.40138,-0.265,-0.138,0.098,0.314
23.403348,-0.25,-0.135,0.104,0.303
23.405094,-0.244,-0.134,0.109,0.299
23.409779,-0.233,-0.131,0.117,0.291
23.409851,-0.214,-0.13,0.124,0.279
23.411723,-0.2,-0.127,0.131,0.271
23.413086,-0.186,-0.128,0.14,0.265
23.417958,-0.171,-0.124,0.15,0.259
23.418106,-0.155,-0.119,0.162,0.254
23.419665,-0.141,-0.119,0.172,0.252
23.421197,-0.126,-0.115,0.184,0.251
23.426676,-0.119,-0.115,0.191,0.252
23.429209,-0.079,-0.112,0.228,0.266
23.434894,-0.07,-0.111,0.241,0.275
23.437068,-0.038,-0.119,0.279,0.306
23.439948,-0.032,-0.119,0.284,0.309
23.442986,-0.027,-0.12,0.296,0.32
23.444061,-0.023,-0.123,0.306,0.331
23.445073,-0.018,-0.124,0.318,0.341
23.447873,-0.019,-0.13,0.324,0.349
23.451603,-0.014,-0.134,0.33,0.357
23.452034,-0.012,-0.137,0.336,0.363
23.453237,-0.01,-0.142,0.34,0.369
23.45553,-0.009,-0.145,0.342,0.372
23.459702,-0.009,-0.148,0.344,0.374
23.460016,-0.009,-0.15,0.345,0.376
23.461905,-0.008,-0.152,0.344,0.376
23.463737,-0.01,-0.156,0.342,0.376
23.46818,-0.012,-0.158,0.341,0.376
23.468258,-0.014,-0.161,0.339,0.376
23.469244,-0.02,-0.16,0.337,0.373
23.471414,-0.028,-0.158,0.331,0.368
23.473086,-0.033,-0.161,0.327,0.366
23.476252,-0.042,-0.163,0.324,0.365
23.477188,-0.048,-0.164,0.319,0.362
23.47995,-0.059,-0.167,0.314,0.36
23.481101,-0.07,-0.167,0.308,0.358
23.484623,-0.081,-0.172,0.301,0.356
23.485223,-0.09,-0.173,0.294,0.353
23.487906,-0.102,-0.172,0.288,0.351
23.489097,-0.115,-0.173,0.281,0.35
23.492946,-0.126,-0.169,0.273,0.345
23.493197,-0.134,-0.169,0.268,0.344
23.49618,-0.144,-0.166,0.26,0.341
23.497102,-0.159,-0.162,0.249,0.337
23.501173,-0.17,-0.155,0.241,0.333
23.501237,-0.18,-0.152,0.233,0.331
23.503988,-0.191,-0.143,0.223,0.326
23.50515,-0.201,-0.137,0.214,0.324
23.509918,-0.211,-0.126,0.204,0.319
23.510066,-0.217,-0.122,0.199,0.319
23.511282,-0.223,-0.109,0.19,0.313
23.513163,-0.23,-0.1,0.181,0.309
23.518252,-0.239,-0.089,0.173,0.309
23.518331,-0.243,-0.079,0.164,0.304
23.519294,-0.252,-0.067,0.157,0.304
23.521192,-0.256,-0.055,0.151,0.302
23.52326,-0.265,-0.04,0.146,0.305
23.526293,-0.274,-0.03,0.143,0.31
23.527974,-0.275,-0.024,0.142,0.31
23.529283,-0.285,-0.015,0.143,0.319
23.535178,-0.291,-0.01,0.144,0.324
23.539884,-0.319,-0.027,0.159,0.358
23.543588,-0.325,-0.039,0.166,0.367
23.547913,-0.329,-0.078,0.181,0.384
23.551354,-0.33,-0.095,0.19,0.393
23.551917,-0.331,-0.111,0.197,0.401
23.553115,-0.33,-0.13,0.205,0.41
23.556123,-0.33,-0.147,0.213,0.42
23.559801,-0.334,-0.162,0.22,0.431
23.563314,-0.335,-0.202,0.236,0.457
23.565213,-0.338,-0.214,0.243,0.468
23.568642,-0.334,-0.229,0.247,0.474
23.569513,-0.334,-0.241,0.249,0.481
23.572135,-0.332,-0.25,0.252,0.486
23.573415,-0.326,-0.256,0.254,0.486
23.579589,-0.321,-0.261,0.256,0.486
23.58727,-0.286,-0.265,0.268,0.473
23.589339,-0.254,-0.262,0.291,0.467
23.5962,-0.246,-0.257,0.303,0.467
23.603579,-0.221,-0.253,0.34,0.478
23.610833,-0.219,-0.242,0.373,0.495
23.613282,-0.233,-0.214,0.382,0.496
23.619643,-0.236,-0.207,0.385,0.497
23.626971,-0.26,-0.137,0.374,0.475
23.629481,-0.27,-0.088,0.356,0.455
23.632015,-0.276,-0.07,0.35,0.451
23.636093,-0.277,-0.06,0.345,0.446
23.63676,-0.282,-0.041,0.337,0.441
23.63759,-0.283,-0.022,0.327,0.433
23.640258,-0.283,-0.007,0.316,0.424
23.645043,-0.283,0.011,0.303,0.415
23.648174,-0.279,0.065,0.268,0.392
23.653261,-0.277,0.073,0.263,0.389
23.656301,-0.266,0.121,0.23,0.372
23.660508,-0.258,0.135,0.221,0.366
23.660611,-0.257,0.149,0.211,0.364
23.661397,-0.254,0.161,0.203,0.363
23.664169,-0.25,0.177,0.192,0.361
23.670058,-0.25,0.191,0.184,0.365
23.673464,-0.254,0.232,0.162,0.38
23.677861,-0.257,0.241,0.155,0.385
23.677948,-0.257,0.246,0.15,0.386
23.679552,-0.261,0.249,0.147,0.39
23.681416,-0.266,0.251,0.141,0.392
23.686702,-0.266,0.251,0.137,0.391
23.689341,-0.271,0.241,0.129,0.385
23.69447,-0.272,0.238,0.123,0.382
23.694575,-0.273,0.229,0.12,0.376
23.696426,-0.27,0.227,0.114,0.371
23.69738,-0.268,0.224,0.108,0.366
23.704228,-0.263,0.222,0.102,0.359
23.712156,-0.23,0.202,0.082,0.317
23.720647,-0.164,0.161,0.065,0.239
23.723439,-0.103,0.116,0.053,0.164
23.728867,-0.089,0.111,0.049,0.151
23.732057,-0.052,0.098,0.041,0.119
23.736384,-0.04,0.101,0.038,0.116
23.736461,-0.035,0.101,0.037,0.113
23.737485,-0.03,0.101,0.034,0.111
23.739859,-0.029,0.101,0.032,0.11
23.74371,-0.025,0.104,0.027,0.111
23.74436,-0.021,0.106,0.026,0.112
23.745387,-0.02,0.111,0.023,0.115
23.748386,-0.021,0.114,0.021,0.118
23.753416,-0.02,0.115,0.023,0.119
23.761005,-0.022,0.124,0.022,0.128
23.764202,-0.029,0.12,0.021,0.125
23.770062,-0.029,0.122,0.021,0.127
23.772443,-0.034,0.118,0.017,0.124
23.778311,-0.032,0.122,0.016,0.127
23.781384,-0.025,0.144,0.012,0.146
23.785748,0.01,0.194,0.006,0.195
23.785831,0.116,0.3,-0.009,0.322
23.787474,0.216,0.373,-0.014,0.431
23.789415,0.273,0.39,-0.013,0.476
23.795542,0.286,0.395,-0.001,0.488
23.80051,0.233,0.435,0.012,0.493
23.800923,0.213,0.483,-0.008,0.528
23.801701,0.201,0.515,-0.024,0.553
23.805523,0.192,0.53,-0.038,0.565
23.80559,0.184,0.523,-0.047,0.556
23.809535,0.183,0.513,-0.048,0.547
23.809591,0.175,0.488,-0.05,0.521
23.812065,0.17,0.461,-0.053,0.494
23.81945,0.156,0.417,-0.058,0.449
23.82745,0.117,0.348,-0.065,0.372
23.831348,0.072,0.246,-0.059,0.263
23.835423,0.064,0.213,-0.058,0.23
23.837188,0.051,0.18,-0.054,0.194
23.837255,0.032,0.144,-0.049,0.155
23.83942,0.016,0.108,-0.045,0.118
23.844934,0.001,0.073,-0.038,0.083
23.848111,-0.033,-0.011,-0.026,0.044
23.852615,-0.047,-0.044,-0.022,0.068
23.852691,-0.062,-0.077,-0.023,0.101
23.853266,-0.075,-0.108,-0.024,0.134
23.8563,-0.084,-0.138,-0.026,0.163
23.860586,-0.093,-0.171,-0.029,0.197
23.860672,-0.098,-0.186,-0.033,0.213
23.861322,-0.106,-0.218,-0.038,0.246
23.864202,-0.106,-0.238,-0.046,0.265
23.868665,-0.108,-0.253,-0.055,0.28
23.868722,-0.098,-0.266,-0.063,0.29
23.869275,-0.09,-0.27,-0.07,0.293
23.872062,-0.074,-0.27,-0.076,0.29
23.873251,-0.057,-0.267,-0.082,0.285
23.877529,-0.042,-0.263,-0.089,0.281
23.877602,-0.034,-0.256,-0.093,0.274
23.879818,-0.021,-0.247,-0.101,0.268
23.881293,-0.009,-0.235,-0.113,0.261
23.885754,0.005,-0.223,-0.122,0.254
23.88583,0.012,-0.21,-0.134,0.25
23.887383,0.02,-0.203,-0.145,0.25
23.889518,0.025,-0.196,-0.155,0.251
23.893918,0.031,-0.189,-0.164,0.252
23.894043,0.031,-0.183,-0.173,0.254
23.89787,0.031,-0.18,-0.178,0.255
23.898065,0.034,-0.178,-0.186,0.26
