t,Ax,Ay,Az,aT
1.239471,1.7695,1.4459,1.2554,2.61
1.248391,1.9434,1.3704,2.4419,3.41
1.264152,1.1426,1.6798,4.1327,4.61
1.272494,0.3974,2.0412,4.5768,5.03
1.280335,0.0131,2.2752,4.5588,5.1
1.288186,0.0484,2.3064,4.1843,4.78
1.304056,0.7116,2.1195,2.9882,3.73
1.315745,1.6212,2.3921,2.2426,3.66
1.321231,2.1661,2.3371,2.4468,4.02
1.329971,2.3152,1.8851,3.0032,4.23
1.343191,1.1823,1.2046,4.1715,4.5
1.355224,1.104,1.6143,4.2993,4.72
1.364224,1.2856,1.9664,3.7509,4.43
1.368263,0.9333,1.8316,2.916,3.57
1.383655,-0.8701,1.3151,1.5353,2.2
1.391639,-2.1331,0.8988,1.4205,2.72
1.39947,-3.2891,0.5361,1.2179,3.55
1.408044,-3.9024,0.4375,0.903,4.03
1.424353,-4.668,0.1727,0.1147,4.67
1.432087,-5.2008,0.4207,-0.1686,5.22
1.440302,-5.5926,0.8399,-0.3195,5.66
1.456087,-5.3568,0.3887,-1.2306,5.51
1.464436,-5.135,0.2213,-1.6709,5.4
1.472656,-4.6223,0.1007,-2.1067,5.08
1.48018,-4.1795,0.001,-2.35,4.79
1.487804,-3.8192,-0.3806,-2.4631,4.56
1.503478,-3.9983,-1.0539,-2.2878,4.73
1.515605,-4.1923,-1.1359,-2.0923,4.82
1.52208,-4.1232,-1.3695,-2.022,4.79
1.530772,-3.9131,-1.5737,-2.1107,4.72
1.539437,-3.7411,-1.6969,-2.2057,4.66
1.552765,-3.2015,-1.5455,-1.7668,3.97
1.562716,-2.7025,-1.5541,-1.359,3.4
1.572656,-2.2572,-1.7507,-1.1552,3.08
1.580253,-1.8581,-1.932,-0.9959,2.86
1.591953,-0.7765,-1.449,-0.3658,1.68
1.599235,-0.179,-1.4724,-0.2677,1.51
1.615895,0.8705,-1.3475,-0.5467,1.69
1.623975,1.2772,-1.2082,-0.665,1.88
1.632503,1.9108,-0.9549,-0.6107,2.22
1.639882,2.074,-1.154,-0.4452,2.41
1.647762,2.4283,-1.3379,-0.4412,2.81
1.664151,3.2746,-0.2452,0.3428,3.3
1.672213,3.823,0.3022,0.6168,3.88
1.680553,4.4446,0.4045,0.891,4.55
1.688488,5.0296,0.4118,0.9615,5.14
1.703001,6.3259,0.6521,0.8195,6.41
1.712277,6.9125,1.1535,0.8881,7.06
1.721474,7.3371,1.8049,1.0341,7.63
1.729514,7.9459,2.2277,1.2051,8.34
1.738587,8.4428,2.216,1.3438,8.83
1.748223,8.9562,1.8922,1.5292,9.28
1.76049,9.6949,1.7138,2.0004,10.05
1.776186,9.9961,3.1197,2.6156,10.79
1.784256,10.2231,3.6989,2.5918,11.18
1.792557,10.3062,3.9612,2.4006,11.3
1.800521,10.1472,4.1766,2.0162,11.16
1.815464,9.439,3.6577,1.0944,10.18
1.824021,9.0298,3.0855,0.9198,9.59
1.83402,8.8468,2.8063,1.0326,9.34
1.840647,8.9823,2.7542,1.4064,9.5
1.84843,9.3476,2.7596,1.812,9.91
1.86449,9.8648,2.7227,2.2588,10.48
1.872387,9.8576,2.5147,2.2235,10.41
1.881215,9.5799,2.3626,1.9716,10.06
1.888782,9.1968,2.2802,1.6839,9.62
1.90417,8.9643,0.6173,1.0478,9.05
1.915948,8.1012,0.5122,1.0819,8.19
1.921939,6.5134,1.1841,1.2326,6.73
1.930647,5.237,1.9182,1.2375,5.71
1.939034,4.3129,2.257,1.0109,4.97
1.952223,3.162,2.2397,0.8687,3.97
1.965957,2.8792,1.8837,1.1318,3.62
1.970911,2.7982,1.8311,1.5572,3.69
1.984398,3.3768,1.1893,2.9199,4.62
1.999652,3.7036,0.93,3.5628,5.22
2.000278,3.9352,0.686,3.9815,5.64
2.008061,4.1428,0.5329,4.2224,5.94
2.023975,4.7742,-0.1215,4.0519,6.26
2.032598,4.7358,-0.6862,3.8241,6.13
2.040358,4.2534,-1.2561,3.6274,5.73
2.048151,3.5817,-1.8243,3.4687,5.31
2.064144,3.0597,-3.0518,3.647,5.65
2.072525,3.0181,-3.4621,3.6213,5.85
2.080447,3.2788,-3.7579,3.4418,6.06
2.088794,3.6375,-4.0694,3.0392,6.25
2.104289,4.4485,-4.8305,1.8634,6.83
2.112207,5.0682,-5.262,1.4367,7.45
2.121107,5.5785,-5.4852,1.4262,7.95
2.129178,5.6422,-5.5769,1.5339,8.08
2.138471,5.7796,-5.6701,1.7685,8.29
2.152271,5.3964,-6.0212,1.9916,8.33
2.162571,4.7735,-6.1751,1.8989,8.03
2.172028,3.8125,-6.373,1.4412,7.56
2.179183,3.1582,-6.2856,1.0236,7.11
2.192269,2.4347,-5.9849,0.4872,6.48
2.200252,2.1584,-5.7722,0.4311,6.18
2.208126,1.7379,-5.7189,0.5762,6
2.223648,0.9878,-5.8743,0.7555,6
2.231809,0.9097,-5.9239,0.6587,6.03
2.240354,1.2423,-6.6192,-0.1024,6.74
2.248269,0.8006,-6.0233,-0.9125,6.14
2.264202,1.4188,-5.004,-1.5404,5.42
2.272431,1.4079,-5.5252,-1.5456,5.91
2.280539,1.209,-5.6266,-1.5889,5.97
2.287793,1.0687,-5.4688,-1.6131,5.8
2.304022,0.3824,-5.9072,-1.0637,6.01
2.314707,-0.217,-6.1381,-0.8219,6.2
2.321295,-0.8249,-6.1958,-0.5875,6.28
2.328846,-1.3506,-6.0008,-0.4225,6.17
2.344074,-2.141,-5.2391,-0.2039,5.66
2.353613,-2.5125,-4.899,0.024,5.51
2.363533,-2.7895,-4.7909,0.256,5.55
2.375957,-2.8515,-5.0223,0.1285,5.78
2.384237,-2.8669,-5.1434,-0.0448,5.89
2.391568,-3.0713,-5.3024,-0.2892,6.13
2.400339,-3.1241,-5.6305,-0.5956,6.47
2.408074,-3.1605,-6.0535,-0.9859,6.9
2.424083,-3.8193,-6.2042,-1.4479,7.43
2.432056,-4.5634,-5.9329,-1.5066,7.64
2.439575,-5.4049,-5.6704,-1.4975,7.98
2.448084,-6.4483,-5.3977,-1.4997,8.54
2.463801,-8.3303,-4.909,-1.7216,9.82
2.471946,-8.7811,-4.6632,-1.7953,10.1
2.479966,-8.857,-4.4071,-1.9131,10.08
2.488539,-8.5864,-4.2472,-1.9368,9.77
2.504111,-6.6304,-4.4435,-2.0246,8.23
2.516242,-5.4204,-4.6176,-1.8932,7.37
2.523065,-4.7745,-4.679,-1.7034,6.9
2.530207,-4.5926,-4.7018,-1.5721,6.76
2.537902,-4.5651,-4.8001,-1.501,6.79
2.552483,-4.926,-4.6965,-1.6012,6.99
2.562051,-4.8974,-4.5999,-1.5543,6.9
2.57191,-4.4189,-4.4537,-1.3393,6.42
2.583956,-2.8769,-4.0084,-1.2698,5.09
2.592489,-2.035,-3.8119,-0.907,4.42
2.599618,-1.3127,-3.7546,-0.5859,4.02
2.608785,-0.8934,-3.7317,-0.4524,3.86
2.623987,-0.3591,-3.7416,-0.4643,3.79
2.632103,-0.179,-3.7376,-0.7336,3.81
2.639626,-0.259,-3.7873,-1.2511,4
2.656173,-1.0292,-3.8779,-2.3679,4.66
2.667023,-1.1906,-3.8322,-2.7583,4.87
2.672125,-1.2547,-3.764,-3.1169,5.05
2.680273,-1.4539,-3.8683,-3.3438,5.32
2.688256,-1.3363,-3.342,-3.2362,4.84
2.703939,-0.2444,-1.02,-1.4936,1.83
2.714912,0.197,-0.7473,-1.0669,1.32
2.72104,1.124,-0.6059,-0.9178,1.57
2.729336,1.8188,-1.2822,-0.8481,2.38
2.737887,1.9333,-1.7192,-0.9237,2.75
2.752043,2.0682,-2.2192,-1.3975,3.34
2.763939,2.0151,-2.2595,-1.7265,3.49
2.772097,1.8685,-2.3357,-2.0919,3.65
2.784289,0.9439,-2.9083,-3.4327,4.6
2.791804,0.6669,-3.1561,-4.221,5.31
2.800555,0.5755,-3.2862,-4.9329,5.96
2.816001,0.8515,-3.4328,-5.3687,6.43
2.823826,1.0283,-3.5398,-4.8275,6.07
2.831686,1.3486,-3.722,-4.0979,5.7
2.840159,1.644,-3.9644,-3.5016,5.54
2.848436,1.7801,-4.3008,-2.7817,5.42
2.863428,1.6612,-4.4026,-1.7025,5
2.873624,1.3907,-4.2409,-1.386,4.67
2.879636,0.592,-4.6775,-1.1602,4.86
2.895659,0.6709,-3.8273,-0.7572,3.96
2.905648,0.9617,-3.5971,-0.4521,3.75
